
Nombre de imagen               PID Servicios                                    
========================= ======== =============================================
svchost.exe                    120 PlugPlay                                     
svchost.exe                    620 BrokerInfrastructure, DcomLaunch, Power,     
                                   SystemEventsBroker                           
svchost.exe                    908 RpcEptMapper, RpcSs                          
svchost.exe                   1064 LSM                                          
svchost.exe                   1204 TermService                                  
svchost.exe                   1296 NcbService                                   
svchost.exe                   1376 hidserv                                      
svchost.exe                   1380 Schedule                                     
svchost.exe                   1464 ProfSvc                                      
svchost.exe                   1664 UserManager                                  
svchost.exe                   1712 SysMain                                      
svchost.exe                   1720 Themes                                       
svchost.exe                   1812 EventSystem                                  
svchost.exe                   1828 EventLog                                     
svchost.exe                   1836 TimeBrokerSvc                                
svchost.exe                   1844 CoreMessagingRegistrar                       
svchost.exe                   2040 UmRdpService                                 
svchost.exe                   2068 SENS                                         
svchost.exe                   2136 AudioEndpointBuilder                         
svchost.exe                   2144 FontCache                                    
svchost.exe                   2220 nsi                                          
svchost.exe                   2276 CertPropSvc                                  
svchost.exe                   2304 Dhcp                                         
svchost.exe                   2360 SEMgrSvc                                     
svchost.exe                   2408 LanmanWorkstation                            
svchost.exe                   2456 NlaSvc                                       
svchost.exe                   2528 Dnscache                                     
svchost.exe                   2536 SessionEnv                                   
svchost.exe                   2720 DispBrokerDesktopSvc                         
svchost.exe                   2796 netprofm                                     
svchost.exe                   2848 Audiosrv                                     
svchost.exe                   2956 DusmSvc                                      
svchost.exe                   2964 Wcmsvc                                       
svchost.exe                   3044 ShellHWDetection                             
svchost.exe                   2928 WinHttpAutoProxySvc                          
svchost.exe                   3144 BFE, mpssvc                                  
svchost.exe                   3388 CryptSvc                                     
svchost.exe                   3400 DiagTrack                                    
svchost.exe                   3412 DPS                                          
svchost.exe                   3420 TrkWks                                       
svchost.exe                   3428 Winmgmt                                      
svchost.exe                   3436 osrss                                        
svchost.exe                   3444 SstpSvc                                      
svchost.exe                   3452 WpnService                                   
svchost.exe                   3916 WdiServiceHost                               
svchost.exe                   4072 iphlpsvc                                     
svchost.exe                   3636 LanmanServer                                 
svchost.exe                   4140 RasMan                                       
svchost.exe                   4172 FDResPub                                     
svchost.exe                   4988 Browser                                      
svchost.exe                   6044 StateRepository                              
svchost.exe                   6328 TabletInputService                           
svchost.exe                   6456 TokenBroker                                  
svchost.exe                   6724 CDPSvc                                       
svchost.exe                   8400 lfsvc                                        
svchost.exe                   8924 BthAvctpSvc                                  
svchost.exe                   9904 SSDPSRV                                      
svchost.exe                   8488 UsoSvc                                       
svchost.exe                   9556 wuauserv                                     
svchost.exe                   8480 wcncsvc                                      
svchost.exe                  10696 seclogon                                     
svchost.exe                   8528 LicenseManager                               
svchost.exe                   7084 WbioSrvc                                     
svchost.exe                   7412 Appinfo                                      
svchost.exe                  12236 PcaSvc                                       
svchost.exe                  11212 StorSvc                                      
svchost.exe                  10360 wscsvc                                       
svchost.exe                   2168 InstallService                               
svchost.exe                   9200 RmSvc                                        
svchost.exe                  12264 DsSvc                                        
svchost.exe                  13772 WebClient                                    
svchost.exe                  10968 lmhosts                                      
svchost.exe                  17076 CDPUserSvc_145662f                           
svchost.exe                   8620 WpnUserService_145662f                       
svchost.exe                  12936 cbdhsvc_145662f                              
svchost.exe                    916 OneSyncSvc_145662f                           
svchost.exe                  10048 DoSvc                                        
